d3_q4,time,stage,surv,surv_lci,surv_uci
1,0,1,1,1,1
1,.05,1,.99878912,.9967167,.9995537
1,.1,1,.99643213,.9925722,.9982879
1,.15,1,.99359925,.9878917,.996621
1,.2,1,.99056504,.9829046,.9948019
1,.25,1,.98747005,.9778023,.9929423
1,.3,1,.98439269,.9727234,.9910925
1,.35,1,.9813784,.9677592,.9892763
1,.4,1,.97845371,.9629659,.9875063
1,.45,1,.97563371,.9583747,.9857895
1,.5,1,.97292635,.9539998,.9841302
1,.55,1,.97033238,.9498388,.9825299
1,.6,1,.96784365,.9458702,.9809864
1,.65,1,.965451,.9420719,.9794968
1,.7,1,.96314581,.9384237,.9780578
1,.75,1,.96092018,.9349084,.9766662
1,.8,1,.95876694,.9315115,.9753188
1,.85,1,.95667963,.9282203,.9740124
1,.9,1,.95465246,.9250244,.9727439
1,.95,1,.95268022,.9219148,.9715103
1,1,1,.95075824,.9188837,.9703088
1,1.05,1,.94888233,.9159248,.9691367
1,1.1,1,.94704873,.9130325,.9679916
1,1.15,1,.94525405,.9102017,.9668711
1,1.2,1,.94349522,.9074282,.9657732
1,1.25,1,.94176948,.9047083,.9646959
1,1.3,1,.94007431,.9020386,.9636372
1,1.35,1,.93840744,.8994159,.9625957
1,1.4,1,.93676681,.8968377,.9615698
1,1.45,1,.93515052,.8943012,.9605581
1,1.5,1,.93355685,.8918042,.9595594
1,1.55,1,.93198423,.8893446,.9585726
1,1.6,1,.9304312,.8869203,.9575967
1,1.65,1,.92889654,.8845294,.9566307
1,1.7,1,.92737944,.8821707,.9556743
1,1.75,1,.92587925,.8798429,.9547271
1,1.8,1,.92439536,.8775448,.9537887
1,1.85,1,.92292719,.8752753,.9528589
1,1.9,1,.92147419,.8730332,.9519375
1,1.95,1,.92003584,.8708174,.9510242
1,2,1,.91861167,.868627,.9501188
1,2.05,1,.91720122,.8664607,.9492211
1,2.1,1,.91580405,.8643179,.9483311
1,2.15,1,.91441976,.8621974,.9474484
1,2.2,1,.91304796,.8600984,.9465731
1,2.25,1,.91168828,.8580201,.9457049
1,2.3,1,.91034038,.8559616,.9448436
1,2.35,1,.90900392,.8539222,.9439894
1,2.4,1,.90767857,.8519012,.943142
1,2.45,1,.90636405,.8498978,.9423012
1,2.5,1,.90506006,.8479115,.9414671
1,2.55,1,.90376634,.8459415,.9406395
1,2.6,1,.90248261,.8439873,.9398183
1,2.65,1,.90120862,.8420482,.9390035
1,2.7,1,.89994414,.8401239,.9381949
1,2.75,1,.89868893,.8382137,.9373924
1,2.8,1,.89744278,.8363172,.936596
1,2.85,1,.89620547,.8344339,.9358057
1,2.9,1,.89497679,.8325632,.9350213
1,2.95,1,.89375656,.8307049,.9342428
1,3,1,.89254458,.8288586,.93347
1,3.05,1,.89134068,.8270238,.932703
1,3.1,1,.89014468,.8252002,.9319415
1,3.15,1,.88895641,.8233874,.9311857
1,3.2,1,.88777571,.8215851,.9304354
1,3.25,1,.88660243,.819793,.9296904
1,3.3,1,.88543641,.8180108,.9289509
1,3.35,1,.88427752,.8162382,.9282166
1,3.4,1,.88312559,.814475,.9274876
1,3.45,1,.88198052,.8127208,.9267638
1,3.5,1,.88084216,.8109756,.926045
1,3.55,1,.87971039,.8092389,.9253313
1,3.6,1,.87858509,.8075106,.9246226
1,3.65,1,.87746612,.8057904,.9239187
1,3.7,1,.87635339,.8040783,.9232197
1,3.75,1,.87524679,.8023739,.9225256
1,3.8,1,.87414619,.8006771,.9218361
1,3.85,1,.8730515,.7989878,.9211513
1,3.9,1,.87196262,.7973057,.9204711
1,3.95,1,.87087945,.7956308,.9197955
1,4,1,.86980189,.7939627,.9191244
1,4.05,1,.86872985,.7923015,.9184576
1,4.1,1,.86766324,.790647,.9177953
1,4.15,1,.86660197,.788999,.9171373
1,4.2,1,.86554597,.7873573,.9164835
1,4.25,1,.86449513,.785722,.915834
1,4.3,1,.86344939,.7840929,.9151885
1,4.35,1,.86240867,.7824698,.9145472
1,4.4,1,.86137288,.7808527,.91391
1,4.45,1,.86034196,.7792415,.9132767
1,4.5,1,.85931583,.777636,.9126474
1,4.55,1,.85829443,.7760362,.9120219
1,4.6,1,.85727768,.774442,.9114003
1,4.65,1,.85626551,.7728533,.9107825
1,4.7,1,.85525788,.77127,.9101683
1,4.75,1,.85425469,.769692,.9095579
1,4.8,1,.8532559,.7681193,.9089512
1,4.85,1,.85226145,.7665519,.908348
1,4.9,1,.85127127,.7649896,.9077483
1,4.95,1,.85028532,.7634323,.9071522
1,5,1,.84930353,.76188,.9065595
2,0,1,1,1,1
2,.05,1,.99955595,.9987147,.9998466
2,.1,1,.99869062,.9969962,.9994295
2,.15,1,.99764886,.9950098,.998893
2,.2,1,.99653097,.9928746,.9983127
2,.25,1,.99538845,.9906806,.9977208
2,.3,1,.99425019,.9884899,.9971319
2,.35,1,.99313307,.9863423,.9965533
2,.4,1,.99204708,.9842623,.9959888
2,.45,1,.99099801,.9822642,.9954409
2,.5,1,.98998903,.9803548,.9949108
2,.55,1,.98902065,.9785339,.994399
2,.6,1,.98809001,.9767932,.9939048
2,.65,1,.98719387,.9751236,.9934272
2,.7,1,.98632915,.9735169,.9929653
2,.75,1,.98549303,.971966,.992518
2,.8,1,.98468294,.9704646,.9920844
2,.85,1,.98389656,.9690077,.9916634
2,.9,1,.98313179,.9675905,.9912542
2,.95,1,.98238675,.9662091,.9908558
2,1,1,.98165976,.9648604,.9904673
2,1.05,1,.98094931,.9635413,.990088
2,1.1,1,.98025401,.9622494,.9897172
2,1.15,1,.97957264,.9609824,.9893543
2,1.2,1,.97890409,.9597386,.9889984
2,1.25,1,.97824735,.9585161,.988649
2,1.3,1,.9776015,.9573134,.9883057
2,1.35,1,.97696572,.956129,.9879679
2,1.4,1,.97633924,.9549619,.9876351
2,1.45,1,.97572138,.9538109,.9873071
2,1.5,1,.9751115,.9526747,.9869833
2,1.55,1,.97450903,.9515527,.9866635
2,1.6,1,.97391343,.9504437,.9863473
2,1.65,1,.97332426,.9493471,.9860345
2,1.7,1,.97274123,.9482624,.9857249
2,1.75,1,.9721641,.947189,.9854184
2,1.8,1,.97159265,.9461266,.9851149
2,1.85,1,.97102669,.9450747,.9848143
2,1.9,1,.97046601,.944033,.9845165
2,1.95,1,.96991044,.943001,.9842214
2,2,1,.9693598,.9419784,.9839289
2,2.05,1,.96881393,.9409648,.983639
2,2.1,1,.96827268,.9399597,.9833516
2,2.15,1,.9677359,.9389631,.9830666
2,2.2,1,.96720346,.9379743,.982784
